movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
297090,False,2,1206861,Directing,Kōta Yoshida,Kōta Yoshida,0.652,,54398f18c3a3681998000a15,Directing,Director
709195,False,2,1191028,Directing,Fabián Forte,Fabián Forte,0.6,,5ecdc358aaec71001f65c444,Directing,Director
1075536,False,0,1989658,Directing,Albert Langitan,Albert Langitan,1.008,,63c70e5389f74900c702625c,Directing,Director
504827,False,2,1815481,Directing,Bernard Derriman,Bernard Derriman,1.128,/7Wjv0pKZka5QzcfGddqtj2HXxC4.jpg,61dd12193a48c50041a7accb,Directing,Director
333596,False,2,909318,Directing,Andrew Erwin,Andrew Erwin,0.84,,555ddac39251417703000c5f,Directing,Director
429351,False,0,1719601,Directing,Nicolai Fuglsig,Nicolai Fuglsig,0.6,,58490ef0c3a368140800e055,Directing,Director
149870,False,2,608,Directing,Hayao Miyazaki,Hayao Miyazaki,8.56,/mG3cfxtA5jqDc7fpKgyzZMKoXDh.jpg,52fe4bf59251416c75113507,Directing,Director
115290,False,2,30149,Directing,Mikael Salomon,Mikael Salomon,1.385,/2vrGZoDHsXzywPsTMApMrBLeCIN.jpg,5c9ced5192514124c5311a43,Directing,Director
241251,False,2,18878,Directing,Rob Cohen,Rob Cohen,7.518,/kVbB8Q0g8eXsn8l81flyC6TgMPW.jpg,52fe4eb5c3a36847f82a2c7f,Directing,Director
479718,False,2,1902848,Directing,Kang Yun-sung,Kang Yun-sung,1.988,/vcKbBy90sl1BOwKYpHz57lA8G0X.jpg,59db1fc292514124c9055f70,Directing,Director
852370,False,2,2287234,Directing,Kim Ho,Kim Ho,1.4,,60f6d0daaf58cb007502b6ec,Directing,Director
1095033,False,0,1492903,Directing,Louie Ignacio,Louie Ignacio,0.987,,640364c713654500846b5456,Directing,Director
1018228,False,0,1275677,Directing,Ajay Singh,Ajay Singh,0.6,,630c8300b3e627007d45aa15,Directing,Director
316029,False,2,1276373,Directing,Michael Gracey,Michael Gracey,2.689,/aPfUH7DbWh7wxzylql5yD34S9g2.jpg,54c8dc9f92514108c70014d8,Directing,Director
623409,False,0,2573455,Directing,Jun Nakagawa,Jun Nakagawa,1.4,,6257dd237e9d5f0065650447,Directing,Director
607259,False,2,3289,Directing,Paul Weitz,Paul Weitz,1.876,/54Np4lBqGM36uwpzRc4KztJxGJz.jpg,5cf9a897c3a3681173259fe0,Directing,Director
508081,False,2,1962267,Directing,Kye Jang-hyuk,Kye Jang-hyuk,1.721,,5a9607ba0e0a26544a001661,Directing,Director
890541,False,2,129106,Directing,Alessandro Genovesi,Alessandro Genovesi,0.6,/agk2QJ41GBBr7MPif03yGIc9x7L.jpg,617922356782590062786b7b,Directing,Director
397469,False,0,2617540,Directing,Hwang Sang-won,Hwang Sang-won,0.6,,5ea7dfd1426ae8002148b113,Directing,Director
941959,False,0,3437902,Directing,Lucas Combina,Lucas Combina,0.6,,621420882dc44e001bc0d41b,Directing,Director
862855,False,0,2409117,Directing,Li Jun,Li Jun,0.98,,612ef0fec1ffbd00444f8c7b,Directing,Director
1089928,False,0,1572524,Directing,Lee Thongkham,Lee Thongkham,0.6,,63f51aa2524978009643f9d0,Directing,Director
1089928,False,0,3932980,Directing,Aqing Xu,Aqing Xu,0.6,,63f51abacaaca20089303cad,Directing,Director
982543,False,0,3571895,Directing,Kelly Halihan,Kelly Halihan,0.6,,629734607e12f0006537a152,Directing,Director
375588,False,2,128276,Directing,Otto Bathurst,Otto Bathurst,1.272,/vojDKrTe52mnPrYSKUTOLWotEIN.jpg,58bcc1979251416077046903,Directing,Director
797394,False,2,1404563,Directing,Aleksey Tsitsilin,Aleksey Tsitsilin,1.057,/y1KrCC9H9QniYPAN26Zbg2iQWIK.jpg,602ae2ed8258fc003e9d8fa6,Directing,Director
146216,False,2,15002,Directing,Dean Parisot,Dean Parisot,0.984,/jpgHbQjkrQHZnhmOvmDLhxvSf3r.jpg,52fe4b779251416c75103c81,Directing,Director
34813,False,2,31119,Directing,Sylvain White,Sylvain White,1.444,/8n84QfPuQCvMaOPXNOOcK1ehhOC.jpg,52fe457e9251416c91034605,Directing,Director
550231,False,2,17167,Directing,Andy Tennant,Andy Tennant,2.341,/bvHhEFoAlPbbtioxrWZaOFNAu71.jpg,5ba941e5c3a3680e4d063207,Directing,Director
403064,False,2,1642774,Directing,Kazuya Sakamoto,Kazuya Sakamoto,1.142,/i2bKhPJrGBB3YZIG0lpre6DbQ1C.jpg,5772c4b7925141734500086e,Directing,Director
77877,False,2,33433,Directing,Scott Hicks,Scott Hicks,1.057,/xJWGoZpqFQodfLuiltknFfOdpV8.jpg,52fe4980c3a368484e12eb2b,Directing,Director
962192,False,1,1008379,Directing,Amanda Micheli,Amanda Micheli,0.6,,6256e1954cd9120db94a8ff9,Directing,Director
335796,False,2,551463,Directing,Mike Flanagan,Mike Flanagan,2.639,/85q5HSDoltjvg1ES0eToNlLjfPB.jpg,56911317c3a3686b550023c4,Directing,Director
823610,False,2,3070695,Directing,Greig Cameron,Greig Cameron,0.6,,608941359a8a8a0058a29ddb,Directing,Director
290512,False,2,357,Directing,Hany Abu-Assad,Hany Abu-Assad,1.166,/y4k7lPSbzJRraN7RhDbgyRcuoSo.jpg,5408e15e0e0a263a1000071f,Directing,Director
787752,False,1,1675644,Directing,Mimi Cave,Mimi Cave,1.868,/5WRuoPV7uuNQx8dFBze0dafFuH.jpg,600742c27d2bc1003dfbd10f,Directing,Director
385103,False,2,23683,Directing,Tony Cervone,Tony Cervone,2.094,/sxyV4NkHI1INnkVNPtrIEiN2tlQ.jpg,56d3c469c3a3681e39010b9f,Directing,Director
800409,False,1,2555060,Directing,Alena Shevchenko,Alena Shevchenko,0.6,/xyH2FHeqdLAeUz8eYGs8oZWHZZ3.jpg,60378e0415959f0041876f9c,Directing,Director
47931,False,2,52576,Directing,José Padilha,José Padilha,1.592,/1v2CvKDLEqxNjZk26Zby0dpasnC.jpg,52fe474ec3a36847f812e673,Directing,Director
864101,False,2,107720,Directing,Dmitry Kiselev,Dmitry Kiselev,1.789,,612181772e069700735a0183,Directing,Director
1103825,False,0,1988209,Directing,Junaid Syed,Junaid Syed,0.6,,641c9f4b24b33300d7261e87,Directing,Director
880956,False,2,1019920,Directing,Mototsugu Watanabe,Mototsugu Watanabe,0.6,/8KAQGswDMZ2qus2xBsnC0psdojW.jpg,615a3c030bc529002cb23bab,Directing,Director
464889,False,2,56533,Directing,Claudio Fäh,Claudio Fäh,2.223,/MbQkOsHbaWKC6UgIDF4M1U6Rof.jpg,59c798499251415b280596bf,Directing,Director
724106,False,2,2710791,Directing,Choi Jin-chul,Choi Jin-chul,3.127,,5f0c449f93db9200354a5bd9,Directing,Director
1049432,False,0,1306272,Directing,Juan Dickinson,Juan Dickinson,0.6,,637550ee680be8007fcb8d46,Directing,Director
23437,False,2,20031,Directing,Samuel Bayer,Samuel Bayer,0.981,,52fe4469c3a368484e0219b1,Directing,Director
821881,False,1,930699,Directing,Sally El Hosaini,Sally El Hosaini,0.828,,608210a79e4586006f2c8f32,Directing,Director
1050167,False,1,3791956,Directing,Kylie Stott,Kylie Stott,0.6,,63777a7111c06600f39b1307,Directing,Director
948333,False,1,2590581,Directing,Kate Cox,Kate Cox,0.6,,622b84c49a358d001c9dcc3d,Directing,Director
987337,False,2,3040939,Directing,Jason Reicher,Jason Reicher,0.6,,62cd5f31fd4a960f4da6368b,Directing,Director
180299,False,2,142013,Directing,Gareth Evans,Gareth Evans,2.333,/2skpocnewERTPODPNvwgL5czLzG.jpg,52fe4c449251416c75115203,Directing,Director
958226,False,2,3493671,Directing,Kim Hyun-Woo,Kim Hyun-Woo,0.98,,624bf1eecb75d10066f988ed,Directing,Director
